Week,Usuario,Tarea,Value ID,ES,ES OLD,EN,EN OLD,PT,PT OLD,Status,Items adoption,Prd adoption,Decisión 2do revisor,Valor correcto  1er Revisor,Valor correcto 2do Revisor,A unificar 1er Revisor,A unificar 2do Revisor
2025 W14,marmujica,4103600,14773710,Como descrito,-,As described,-,As described,-,PROPOSED,10420,75,UNIFY,false,false,true,true
2025 W14,marmujica,3988523,34731687,Primavera/Verano,-,Spring/Summer,-,Primavera/Verão,-,PROPOSED,0,1,UNIFY,false,false,true,true
2025 W14,marmujica,3988521,4836479,Otoño-invierno,-,Autumn-winter,-,Outono-inverno,-,CURRENT,248140,143,UNIFY,false,false,true,true
2025 W14,marmujica,3988521,994284,Otoño/Invierno,-,Autumn/Winter,-,Outono/Inverno,-,CURRENT,34789025,85576,UNIFY,true,true,true,true
2025 W14,marmujica,4239558,27034064,as described,-,As Described,-,conforme descrito,-,CURRENT,204243,31,UNIFY,false,false,true,true
2025 W14,marmujica,3988523,994283,Primavera/Verano,-,Spring/Summer,-,Primavera/Verão,-,CURRENT,44927965,88871,UNIFY,true,true,true,true
2025 W14,marmujica,4239558,26869829,Como se describe,-,As described,-,Conforme descrito,-,PROPOSED,192,1,UNIFY,true,true,true,true
2025 W14,marmujica,3988521,32227460,Otoño/Invierno,-,Autumn/Winter,-,Outono/Inverno,-,PROPOSED,4,10,UNIFY,false,false,true,false
2025 W14,marmujica,3991361,34181633,Otoño/Invierno,-,Autumn/Winter,-,Todas as estações,-,PROPOSED,90,124,UNIFY,false,false,false,false
2025 W16,vcrespo,4328283,462324,Plush,-,Plush,-,Plush,-,CURRENT,732380,1814,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328283,28217252,Felpa,-,Plush,-,Poliéster,-,PROPOSED,237,8,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328283,16712127,Peluch,-,Plush,-,Peluch,-,PROPOSED,172,8,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328283,23675814,Felpuda,-,Plush,-,Felpuda,-,PROPOSED,338,7,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328283,44174521,Felpa,-,Plush,-,Pelucia,-,PROPOSED,272,6,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328283,507452,Felpa,-,Plush,-,Pelúcia,-,CURRENT,2491599,23298,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4328283,34358348,Felpa,-,Plush,-,Pelúcia,-,PROPOSED,84,9,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328283,34716490,Felpa,-,Plush,-,Pelúcia,-,PROPOSED,1385,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328283,18716290,Afelpado,-,Plush,-,Aveludado,-,CURRENT,207115,41,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4083192,36806627,Caqui,-,Khaki,-,Cáqui,-,PROPOSED,21,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4083192,2450301,Caqui,-,Khaki,-,Cáqui,-,CURRENT,4219073,1600,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302266,5361796,M&D,-,M&D,-,M&D,-,CURRENT,5318,54,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302266,23872697,M.D,-,M.D,-,M.D,-,PROPOSED,89,2,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302266,2788930,MD,-,MD,-,MD,-,CURRENT,120097,1919,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988529,2210104,Macho,-,Male,-,Macho,-,CURRENT,8194831,13579,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988529,44134988,Macho,-,Male,-,"Machos, Fêmeas",-,PROPOSED,3,3,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,3988529,47432413,Macho,-,Male,-,Macho,-,PROPOSED,2,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988529,34893668,Macho,-,Male,-,Fêmea,-,PROPOSED,33,5,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4302275,7041318,F&V,-,F&V,-,F&V,-,CURRENT,6617,63,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302275,35254508,FV,-,FV,-,FV,-,PROPOSED,551,13,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302275,433374,FV,-,FV,-,FV,-,CURRENT,146226,2431,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988530,34535250,Celeste,-,Sky blue,-,Preto,-,PROPOSED,17,1,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,3988530,28424609,Celeste,-,Sky blue,-,Azul,-,PROPOSED,21,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988530,39007337,Celeste,-,Sky blue,-,Azul-marinho,-,PROPOSED,6,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988530,2450278,Celeste,-,Sky blue,-,Azul-celeste,-,CURRENT,9570279,14820,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988530,30380031,Celeste,-,Sky blue,-,Azul-celeste,-,PROPOSED,39,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988551,36806627,Caqui,-,Khaki,-,Cáqui,-,PROPOSED,21,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988551,2450301,Caqui,-,Khaki,-,Cáqui,-,CURRENT,4219073,1600,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302273,19851510,MK+,-,MK+,-,MK+,-,PROPOSED,133,3,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302273,17481555,M.K,-,M.K,-,M.K,-,PROPOSED,285,39,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302273,9692262,M&K,-,M&K,-,M&K,-,CURRENT,24623,251,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302273,18142,MK,-,MK,-,MK,-,CURRENT,192791,1119,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4132170,28424609,Celeste,-,Sky blue,-,Azul,-,PROPOSED,21,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4132170,34535250,Celeste,-,Sky blue,-,Preto,-,PROPOSED,17,1,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4132170,30380031,Celeste,-,Sky blue,-,Azul-celeste,-,PROPOSED,39,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4132170,2450278,Celeste,-,Sky blue,-,Azul-celeste,-,CURRENT,9570279,14820,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4132170,39007337,Celeste,-,Sky blue,-,Azul-marinho,-,PROPOSED,6,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4383091,22781560,vaso,-,glass,-,copo,-,CURRENT,0,8,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4383091,1128603,Vidrio,-,Glass,-,Vidro,-,CURRENT,148647,499,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4383091,34711774,Vidrio,-,Glass,-,Plástico,-,PROPOSED,0,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4329613,3384364,K.K,-,K.K,-,K.K,-,CURRENT,1776,39,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4329613,1032093,K&K,-,K&K,-,K&K,-,CURRENT,141559,416,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4503314,5361796,M&D,-,M&D,-,M&D,-,CURRENT,5318,54,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4503314,2788930,MD,-,MD,-,MD,-,CURRENT,120097,1919,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4503314,23872697,M.D,-,M.D,-,M.D,-,PROPOSED,89,2,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328285,19851510,MK+,-,MK+,-,MK+,-,PROPOSED,133,3,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328285,9692262,M&K,-,M&K,-,M&K,-,CURRENT,24699,258,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328285,17481555,M.K,-,M.K,-,M.K,-,PROPOSED,304,39,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328285,18142,MK,-,MK,-,MK,-,CURRENT,192664,1129,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302271,27933242,SUN-Shine,-,SUN-Shine,-,SUN-Shine,-,PROPOSED,375,18,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302271,5160021,Sun Shine,-,Sun Shine,-,Sun Shine,-,CURRENT,37443,456,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302271,34876581,Sun Shine,-,Sun Shine,-,Sun Shine,-,CURRENT,251741,1320,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302264,6326464,Mart,-,Mart,-,Mart,-,CURRENT,130017,6729,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302264,8636023,M.ART,-,M.ART,-,M.ART,-,CURRENT,4164,199,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4503315,11044537,Aderezo para ensalada de limón,-,Lemon salad dressing,-,Molho para salada de limão,-,CURRENT,95,14,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4503315,39600559,Aderezo de Limón para Ensalada,-,Lemon Salad Dressing,-,Tempero Salada Limão,-,CURRENT,0,4,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403762,19316888,Pomada,-,Wax,-,Pomada,-,PROPOSED,1093,53,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4403762,38539420,Cera líquida,-,Wax,-,Cera líquida,-,PROPOSED,0,1,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4403762,38403714,Cera,-,Wax,-,Cera,-,PROPOSED,0,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403762,11026013,Pomada,-,Pomade,-,Pomada,-,CURRENT,110760,1988,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4403762,48194026,Cera,-,Wax,-,Cera,-,PROPOSED,0,4,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4403762,5730488,Cera,-,Wax,-,Cera,-,CURRENT,229389,2205,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988549,28031077,Deportivo,-,Sport,-,Urbano,-,PROPOSED,12,302,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,3988549,6694772,Deportivo,-,Sport,-,Esportivo,-,CURRENT,5674548,257101,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,3988549,28699666,Deportivo,-,Sport,-,Esportivo,-,PROPOSED,18,3,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328292,44696405,Santaclara,-,Santaclara,-,Santaclara,-,CURRENT,253,0,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328292,3021494,Santa Clara,-,Santa Clara,-,Santa Clara,-,CURRENT,98541,3538,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4383119,16025920,Pomade,-,Pomade,-,Pomade,-,PROPOSED,173,6,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4383119,37720227,Pomada,-,Pomade,-,Cera Pomada,-,PROPOSED,0,1,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4383119,11026013,Pomada,-,Pomade,-,Pomada,-,CURRENT,110440,1977,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4383119,38987650,Pomada,-,Pomade,-,Cera,-,PROPOSED,0,2,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4383119,35939735,Pomada,-,Pomade,-,Pasta,-,PROPOSED,0,25,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403757,13363481,Ampolletas,-,Ampoules,-,Ampolas,-,PROPOSED,411,18,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403757,13625795,Ampollas,-,Ampoules,-,Ampolas,-,CURRENT,429,5,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403757,43093941,Ampollas,-,Ampoule,-,Ampolas,-,PROPOSED,0,2,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403757,15770193,Ampollas,-,Ampoules,-,Ampolas,-,CURRENT,1145,20,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302267,5466267,LC,-,LC,-,LC,-,CURRENT,499850,201,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302267,2614931,L&C,-,L&C,-,L&C,-,CURRENT,13959,28,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,26272840,Cuero,-,Leather,-,Couro,-,PROPOSED,1700,4,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,16255648,Cuero,-,leathery,-,Couro,-,PROPOSED,6474,513,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,28637386,Cuero,-,100% leather,-,Couro,-,PROPOSED,1780,105,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328293,24301715,Piel,-,Piel,-,Couro,-,PROPOSED,18655,42,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328293,30348822,LEATHER,-,LEATHER,-,Couro,-,PROPOSED,3979,31,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,26660424,Cuero,-,Leather,-,Couro,-,PROPOSED,2171,4,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,482783,Cuero,-,Leather,-,Couro,-,CURRENT,12073352,42651,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4328293,2364207,Cuero,-,Leather,-,Couro,-,CURRENT,343317,2832,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328293,19487718,Cuero,-,"Leather, Polyester, Elastic",-,Couro,-,PROPOSED,1932,147,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,27850204,Cerámica,-,Ceramic,-,Stoneware,-,PROPOSED,3989,524,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,27857273,Cerámica,-,Ceramic,-,Vidro,-,PROPOSED,981,53,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,15362931,Materiales filtrantes cerámicos para acuarios,-,Ceramic,-,Cerâmico,-,PROPOSED,4097,25,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,24114510,PP,-,Ceramic,-,ceramic,-,PROPOSED,77117,137,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,37108075,Cerámica,-,Ceramic,-,"Cerâmica, porcelana",-,PROPOSED,1627,20,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,2282603,Cerámica,-,Ceramic,-,Cerâmica,-,CURRENT,8947984,51222,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4328287,37446050,PP,-,Ceramic,-,ceramic,-,PROPOSED,1032,1,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4328287,32263472,Cerámica,-,Ceramic,-,Porcelana,-,PROPOSED,1087,72,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4328287,13752964,Cerámico,-,Ceramic,-,Lâminas de reposição para cortadores de pelo para animais de estimação,-,CURRENT,150323,40,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4455377,20105375,Aceitunas sin carozo,-,Pitted olives,-,Azeitonas Sem caroço,-,CURRENT,193,3,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4455377,20179738,Aceituna sin Carozo,-,Coreless Olive,-,Azeitona sem Caroço,-,CURRENT,40,2,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4503317,20203146,Aceituna con Hueso,-,Olive with Stone,-,Azeitona com Caroço,-,CURRENT,27,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4503317,20107173,Aceitunas con hueso,-,Olives with pit,-,Azeitonas com caroço,-,CURRENT,54,3,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4302265,3384364,K.K,-,K.K,-,K.K,-,CURRENT,1776,39,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4302265,1032093,K&K,-,K&K,-,K&K,-,CURRENT,141559,416,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4503318,35464374,Moda,-,Moda,-,Moda,-,PROPOSED,0,54,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4503318,28491269,Pulseras y tobilleras,-,Bracelets and anklets,-,moda,-,CURRENT,0,299,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4503318,28099687,moda,-,moda,-,[None],-,CURRENT,0,1301,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4503318,19988792,Pulseras y tobilleras,-,Moda,-,Moda,-,PROPOSED,99,73,NO_UNIFY,false,false,false,false
2025 W16,vcrespo,4403752,37301652,despeidad de soltera,-,Bachelorette dismissal,-,despedida de solteira,-,PROPOSED,0,1,NO_UNIFY,false,false,true,false
2025 W16,vcrespo,4403752,3636656,Despedida de soltera,-,Bridal shower,-,Despedida de solteira,-,CURRENT,12576,112,NO_UNIFY,true,false,true,false
2025 W16,vcrespo,4261597,35129459,Cumpleaños,-,Birthdays,-,aniverário,-,PROPOSED,0,40,UNIFY,false,false,false,false
2025 W16,vcrespo,4383092,25131917,Leave-in,-,Texturizing,-,Leave-in,-,PROPOSED,0,50,UNIFY,false,false,false,false
2025 W16,vcrespo,4403761,39929429,Sérum,-,Serum,-,Sérum capilar,-,PROPOSED,0,2,UNIFY,false,false,true,true
2025 W16,vcrespo,4383092,47330892,Leave-in,-,Leave-in,-,Leave-in,-,PROPOSED,0,2,UNIFY,false,false,true,true
2025 W16,vcrespo,4103601,17494076,Birthday,-,Birthday,-,Aniversário,-,PROPOSED,20,218,UNIFY,false,false,true,true
2025 W16,vcrespo,4403748,42703069,Linux,-,Linux,-,Windows,-,PROPOSED,0,1,UNIFY,false,false,false,false
2025 W16,vcrespo,4328284,23665009,Plástico,-,Plastic,-,Plástico,-,PROPOSED,4220,0,UNIFY,false,false,true,true
2025 W16,marmujica,4329614,24210690,Plástico,-,Polietileno,-,Polietileno,-,PROPOSED,20682,675,UNIFY,false,false,false,false
2025 W16,marmujica,4329614,40349952,Plástico,-,Plástico,-,Alumínio,-,CURRENT,1068647,15,UNIFY,false,false,false,false
2025 W16,vcrespo,4425506,43093941,Ampollas,-,Ampoule,-,Ampolas,-,PROPOSED,0,2,UNIFY,false,false,true,true
2025 W16,vcrespo,4328284,2748302,Plástico,-,Plastic,-,Plástico,-,CURRENT,79220261,565559,UNIFY,true,true,true,true
2025 W16,vcrespo,4359749,2748301,Aluminio,-,Aluminum,-,Alumínio,-,CURRENT,13443676,125717,UNIFY,true,true,true,true
2025 W16,vcrespo,4454952,25785414,Alcaparras,-,Capers,-,Alcaparras,-,CURRENT,0,52,UNIFY,true,true,true,true
2025 W16,vcrespo,4103601,35129459,Cumpleaños,-,Birthdays,-,aniverário,-,PROPOSED,0,40,UNIFY,false,false,false,true
2025 W16,vcrespo,4329616,34258916,Acero,-,Steel,-,Tecido,-,PROPOSED,535,29,UNIFY,false,false,false,false
2025 W16,vcrespo,4239560,15665144,Estándar,-,Standard,-,Padrão,-,CURRENT,3859219,329757,UNIFY,true,true,true,true
2025 W16,vcrespo,4403754,27283624,ACEITE ARGAN,-,ARGAN OIL,-,ACEITE ARGAN,-,PROPOSED,0,2,UNIFY,false,false,true,true
2025 W16,vcrespo,4103601,27339071,Cumpleañoa,-,Birthdays,-,Cumpleañoa,-,PROPOSED,0,1,UNIFY,false,false,true,true
2025 W16,vcrespo,4403761,337716,Aceite capilar,-,Hair oil,-,Óleo capilar,-,CURRENT,75388,710,UNIFY,false,false,false,false
2025 W16,vcrespo,4328291,2364207,Cuero,-,Leather,-,Couro,-,CURRENT,343317,2832,UNIFY,true,true,true,true
2025 W16,marmujica,4329614,47577115,Plástico,-,Plastic,-,Plástico,-,PROPOSED,5613,4,UNIFY,false,false,false,false
2025 W16,vcrespo,4403754,17208289,Aceite de Argán,-,Argan oil,-,Óleo de Argan,-,PROPOSED,35,2,UNIFY,false,false,true,true
2025 W16,vcrespo,4103601,39811138,birthdays,-,birthdays,-,birthdays,-,PROPOSED,0,118,UNIFY,false,false,false,true
2025 W16,vcrespo,4454950,11053505,Salsa de pimiento verde,-,Green pepper sauce,-,Molho de Pimentão Verde,-,CURRENT,68,4,UNIFY,true,false,true,true
2025 W16,vcrespo,4383089,19549465,Bolso térmico,-,Bag,-,Bolsa,-,PROPOSED,3560,93,UNIFY,false,false,false,false
2025 W16,vcrespo,4328289,25501784,Tela,-,Fabric,-,Tela microporosa,-,PROPOSED,1173,82,UNIFY,false,false,false,false
2025 W16,vcrespo,4403761,27981716,Aceite capilar,-,DROPS,-,Óleo capilar,-,PROPOSED,0,32,UNIFY,false,false,false,false
2025 W16,vcrespo,4328282,24525838,Aluminio,-,Aluminium,-,Alumínio,-,PROPOSED,2907,162,UNIFY,false,false,false,false
2025 W16,vcrespo,4328286,19084948,Lona,-,Canvas,-,Náilon,-,PROPOSED,26,3,UNIFY,false,false,true,false
2025 W16,vcrespo,4403756,12904045,Ungüento,-,Ointment,-,Pomada,-,CURRENT,4385,126,UNIFY,true,true,true,true
2025 W16,vcrespo,4261597,31818027,cumpleaños,-,birthdays,-,amiversário,-,PROPOSED,0,1,UNIFY,false,false,false,false
2025 W16,vcrespo,4359749,25664394,Aluminio,-,Aluminum,-,Metal,-,PROPOSED,1481,98,UNIFY,false,false,false,false
2025 W16,vcrespo,4328286,37952156,Lona,-,Canvas,-,ABS,-,PROPOSED,72,7,UNIFY,false,false,false,false
2025 W16,vcrespo,4481144,28642520,Acaparras,-,Acaparras,-,Alcaparras,-,PROPOSED,0,1,UNIFY,false,false,true,true
2025 W16,vcrespo,4328284,47577115,Plástico,-,Plastic,-,Plástico,-,PROPOSED,5613,4,UNIFY,false,false,false,false
2025 W16,vcrespo,4403761,49526892,Aceit Capilar,-,Hair Oil,-,Óleo Capilar,-,PROPOSED,0,2,UNIFY,false,false,false,false
2025 W16,marmujica,4481143,3329324,Elegante,-,Elegant,-,Elegante,-,CURRENT,798126,1060,UNIFY,true,true,true,true
2025 W16,vcrespo,4328289,31935795,Tela,-,Fabric,-,Tecido,-,PROPOSED,1706,12,UNIFY,false,false,false,false
2025 W16,vcrespo,4328289,31994534,fabric,-,fabric,-,Alicates de corte,-,PROPOSED,1048,36,UNIFY,false,false,true,false
2025 W16,vcrespo,4328289,18827805,Tela,-,Fabric,-,Fabric,-,PROPOSED,2113,71,UNIFY,false,false,true,true
2025 W16,vcrespo,4425505,8967666,Garbanzos,-,Chickpeas,-,Grão-de-bico,-,CURRENT,759,23,UNIFY,true,true,true,true
2025 W16,marmujica,4329614,25284594,Plástico,-,Plastic,-,Plástico,-,PROPOSED,5684,32,UNIFY,false,false,true,true
2025 W16,vcrespo,4328290,41632992,plastics,-,Plastics,-,Vidro,-,PROPOSED,7858,18,UNIFY,false,false,false,false
2025 W16,vcrespo,4328290,27857273,Cerámica,-,Ceramic,-,Vidro,-,PROPOSED,981,53,UNIFY,false,false,false,false
2025 W16,vcrespo,4261597,13968406,Cumpleaños,-,birthdays,-,Aniversários,-,CURRENT,5052,1049,UNIFY,false,false,false,false
2025 W16,vcrespo,4328291,21045879,Cuero,-,Cuero,-,Cuero,-,PROPOSED,43208,14,UNIFY,false,false,true,true
2025 W16,vcrespo,4328286,29027721,Lona,-,Canvas,-,Poliéster,-,PROPOSED,253,47,UNIFY,false,false,false,false
2025 W16,vcrespo,4329616,47521492,TECIDO,-,FABRIC,-,TECIDO,-,PROPOSED,1099,1,UNIFY,false,false,true,true
2025 W16,vcrespo,4403749,7232871,macOS,-,macOS,-,macOS,-,CURRENT,748664,711,UNIFY,true,true,true,true
2025 W16,vcrespo,4383113,19338549,Aceite capilar,-,Serum,-,Óleo capilar,-,PROPOSED,157,21,UNIFY,false,false,false,false
2025 W16,vcrespo,4383113,337716,Aceite capilar,-,Hair oil,-,Óleo capilar,-,CURRENT,75282,706,UNIFY,true,true,true,true
2025 W16,vcrespo,4261597,28636784,Cumpleaños,-,Birthday,-,Aniversários,-,PROPOSED,0,143,UNIFY,false,false,false,false
2025 W16,vcrespo,4261597,45955949,cumpelaños,-,Birthdays,-,aniversário,-,PROPOSED,0,5,UNIFY,false,false,false,false
2025 W16,vcrespo,4328286,47243410,Canvas,-,Canvas,-,Lona,-,PROPOSED,4270,4,UNIFY,false,false,true,true
2025 W16,vcrespo,4403761,38727274,Sérum,-,Serum,-,Tônico capilar,-,PROPOSED,0,2,UNIFY,false,false,false,false
2025 W16,vcrespo,4328290,24028946,Metal,-,Metal,-,Vidro,-,PROPOSED,104699,1134,UNIFY,false,false,false,false
2025 W16,vcrespo,4261597,41927484,Cumpleaños,-,Birthdays,-,Comemorações,-,PROPOSED,0,9,UNIFY,false,false,false,false
2025 W16,vcrespo,4403760,20634131,Puré de tomate,-,Tomato,-,Purê de tomate,-,PROPOSED,57,3,UNIFY,false,false,true,true
2025 W16,vcrespo,4328289,33085420,Tela,-,Fabric,-,Tecido,-,PROPOSED,2845,42,UNIFY,false,false,false,false
2025 W16,vcrespo,4403760,8967668,Puré de tomate,-,Tomato puree,-,Purê de tomate,-,CURRENT,1141,30,UNIFY,true,true,true,true
